Position,Game Name,Console,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update
584,Elite    ,Series,Imagineer  ,David Braben  ,N/A  ,N/A  ,N/A  ,6.40m,N/A,N/A,N/A,N/A,N/A,20th Sep 84  ,19th Jan 21
585,Final Fantasy XII    ,PS2,Square Enix  ,Square Enix  ,N/A  ,9.4  ,9.5  ,6.40m,N/A,N/A,N/A,N/A,N/A,31st Oct 06  ,N/A
586,Lost Planet    ,Series,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,6.40m,N/A,N/A,N/A,N/A,N/A,12th Jan 07  ,04th Feb 20
587,The Legend of Zelda: Ocarina of Time 3D    ,3DS,Nintendo  ,GREZZO  ,9.2  ,9.3  ,N/A  ,6.40m,N/A,N/A,N/A,N/A,N/A,19th Jun 11  ,N/A
588,Pokémon Crystal Version    ,GBC,Nintendo  ,Game Freak  ,N/A  ,8.7  ,N/A  ,6.39m,N/A,N/A,N/A,N/A,N/A,29th Jul 01  ,06th Jan 18
589,Mario Strikers    ,Series,Nintendo  ,Next Level Games  ,N/A  ,N/A  ,N/A  ,6.37m,N/A,N/A,N/A,N/A,N/A,05th Dec 05  ,21st Feb 20
590,Hatsune Miku: Project    ,Series,Sega  ,Sega  ,N/A  ,N/A  ,N/A  ,6.35m,N/A,N/A,N/A,N/A,N/A,09th Apr 12  ,07th Feb 20
591,Minecraft    ,PS4,Sony Computer Entertainment  ,Mojang  ,N/A  ,9.4  ,N/A  ,N/A,6.33m,1.89m,3.13m,0.35m,0.96m,07th Oct 14  ,14th Sep 18
592,FIFA 15    ,PS4,EA Sports  ,EA Canada  ,8.8  ,8.1  ,N/A  ,N/A,6.32m,0.83m,4.49m,0.05m,0.94m,23rd Sep 14  ,23rd Mar 18
593,Kingdom Hearts    ,PS2,Square EA  ,SquareSoft  ,N/A  ,8.5  ,N/A  ,6.30m,N/A,N/A,N/A,N/A,N/A,16th Sep 02  ,N/A
594,Myst    ,PC,Broderbund  ,Cyan Worlds  ,N/A  ,8.9  ,N/A  ,6.30m,N/A,N/A,N/A,N/A,N/A,01st Jan 95  ,N/A
595,Street Fighter II: The World Warrior    ,SNES,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,6.30m,N/A,N/A,N/A,N/A,N/A,01st Jul 92  ,N/A
596,Driver    ,PS,GT Interactive  ,Reflections Interactive  ,N/A  ,8.5  ,N/A  ,N/A,6.27m,3.11m,2.80m,0.02m,0.33m,30th Jun 99  ,N/A
597,Call of Duty: WWII    ,XOne,Activision  ,Sledgehammer Games  ,N/A  ,N/A  ,N/A  ,N/A,6.23m,3.75m,1.91m,N/A,0.57m,03rd Nov 17  ,30th Dec 17
598,Pikmin    ,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,6.22m,N/A,N/A,N/A,N/A,N/A,02nd Dec 01  ,18th Aug 20
599,Big Brain Academy    ,DS,Nintendo  ,Nintendo EAD  ,N/A  ,7.7  ,N/A  ,6.15m,N/A,N/A,N/A,N/A,N/A,05th Jun 06  ,N/A
600,Nintendo Switch Sports    ,NS,Nintendo  ,Nintendo  ,3.0  ,N/A  ,N/A  ,6.15m,N/A,N/A,N/A,N/A,N/A,29th Apr 22  ,09th Feb 22
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
501,Jurassic Park    ,Series,Ocean Software  ,Ocean Software  ,N/A  ,N/A  ,N/A  ,7.57m,N/A,N/A,N/A,N/A,N/A,28th Dec 93  ,14th Mar 20
502,Call of Duty: Advanced Warfare    ,PS4,Activision  ,Sledgehammer Games  ,N/A  ,8.5  ,N/A  ,N/A,7.53m,2.84m,3.34m,0.14m,1.22m,04th Nov 14  ,04th Jan 18
503,Crysis    ,Series,Electronic Arts  ,Crytek  ,N/A  ,N/A  ,N/A  ,7.50m,N/A,N/A,N/A,N/A,N/A,13th Nov 07  ,23rd Feb 20
504,Call of Duty: World at War    ,X360,Activision  ,Treyarch  ,8.8  ,8.5  ,7.8  ,N/A,7.50m,4.88m,1.91m,N/A,0.71m,10th Nov 08  ,N/A
505,Baldur's Gate    ,Series,Interplay Entertainment Corp.  ,BioWare  ,N/A  ,N/A  ,N/A  ,7.47m,N/A,N/A,N/A,N/A,N/A,31st Jul 00  ,13th Feb 20
506,Super Mario Bros. 2    ,NES,Nintendo  ,Nintendo EAD  ,N/A  ,N/A  ,N/A  ,7.46m,N/A,N/A,N/A,N/A,N/A,01st Oct 88  ,N/A
507,Super Mario Galaxy 2    ,Wii,Nintendo  ,Nintendo EAD Tokyo  ,9.6  ,9.7  ,9.8  ,7.41m,N/A,N/A,N/A,N/A,N/A,23rd May 10  ,N/A
508,Super Smash Bros. Melee    ,GC,Nintendo  ,HAL Laboratory  ,N/A  ,9.2  ,N/A  ,7.41m,N/A,N/A,N/A,N/A,N/A,02nd Dec 01  ,N/A
509,Madden NFL 07    ,All,EA Sports  ,EA Tiburon  ,N/A  ,N/A  ,N/A  ,7.40m,N/A,N/A,N/A,N/A,N/A,22nd Aug 06  ,19th Oct 22
510,Trine    ,Series,Nobilis  ,Frozenbyte  ,N/A  ,N/A  ,N/A  ,7.39m,N/A,N/A,N/A,N/A,N/A,03rd Jul 09  ,28th Jan 21
511,Call of Duty: Black Ops 3    ,XOne,Activision  ,Treyarch  ,N/A  ,N/A  ,N/A  ,N/A,7.37m,4.63m,2.04m,0.02m,0.68m,06th Nov 15  ,14th Jan 18
512,Battlefield 3    ,X360,Electronic Arts  ,Dice  ,N/A  ,8.5  ,N/A  ,N/A,7.35m,4.47m,2.12m,0.06m,0.69m,25th Oct 11  ,N/A
513,Battlefield V    ,All,Electronic Arts  ,EA DICE  ,N/A  ,N/A  ,N/A  ,7.30m,N/A,N/A,N/A,N/A,N/A,20th Nov 18  ,09th Oct 20
514,Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters    ,3DS,Nintendo  ,Level 5  ,N/A  ,N/A  ,N/A  ,7.30m,N/A,N/A,N/A,N/A,N/A,30th Sep 16  ,26th Jan 19
515,Ark    ,Series,Studio Wildcard  ,Studio Wildcard  ,N/A  ,N/A  ,N/A  ,7.26m,N/A,N/A,N/A,N/A,N/A,27th Aug 17  ,19th Mar 20
516,The Legend of Zelda: Twilight Princess    ,Wii,Nintendo  ,Nintendo EAD  ,9.3  ,9.5  ,9.6  ,7.26m,N/A,N/A,N/A,N/A,N/A,19th Nov 06  ,N/A
517,Battlefield 1    ,PS4,Electronic Arts  ,EA DICE  ,N/A  ,9.1  ,N/A  ,N/A,7.26m,2.20m,3.65m,0.29m,1.12m,21st Oct 16  ,24th Mar 18
518,Battlefield 3    ,PS3,Electronic Arts  ,Dice  ,N/A  ,8.5  ,N/A  ,N/A,7.21m,2.86m,2.94m,0.35m,1.07m,25th Oct 11  ,N/A
519,Oddworld    ,Series,GT Interactive  ,Oddworld Inhabitants  ,N/A  ,N/A  ,N/A  ,7.20m,N/A,N/A,N/A,N/A,N/A,19th Sep 97  ,14th Feb 20
520,Need for Speed Underground    ,PS2,Electronic Arts  ,EA Black Box  ,N/A  ,8.6  ,N/A  ,N/A,7.20m,3.27m,2.83m,0.08m,1.02m,17th Nov 03  ,N/A
521,Assassin's Creed: Brotherhood    ,All,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,7.20m,N/A,N/A,N/A,N/A,N/A,16th Nov 10  ,21st Oct 20
522,Call of Duty 3    ,All,Activision  ,Treyarch  ,N/A  ,N/A  ,N/A  ,7.20m,N/A,N/A,N/A,N/A,N/A,07th Nov 06  ,26th Sep 22
523,WarioWare    ,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,7.19m,N/A,N/A,N/A,N/A,N/A,26th May 03  ,22nd Feb 20
524,The Binding of Isaac    ,PC,Edmund McMillen  ,Edmund McMillen  ,N/A  ,8.3  ,N/A  ,7.17m,N/A,N/A,N/A,N/A,N/A,28th Sep 11  ,01st Dec 18
525,Tomb Raider    ,All,Eidos Interactive  ,Core Design  ,N/A  ,N/A  ,N/A  ,7.16m,N/A,N/A,N/A,N/A,N/A,14th Nov 96  ,26th Oct 20
526,Pokémon Emerald Version    ,GBA,Nintendo  ,Game Freak  ,N/A  ,7.7  ,N/A  ,7.06m,N/A,N/A,N/A,N/A,N/A,30th Apr 05  ,N/A
527,Ark: Survival Evolved    ,All,Studio Wildcard  ,Studio Wildcard  ,N/A  ,N/A  ,N/A  ,7.00m,N/A,N/A,N/A,N/A,N/A,29th Aug 17  ,31st Dec 20
528,Assassin's Creed: Revelations    ,All,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,7.00m,N/A,N/A,N/A,N/A,N/A,15th Nov 11  ,21st Oct 20
529,DiRT    ,Series,Codemasters  ,Codemasters  ,N/A  ,N/A  ,N/A  ,7.00m,N/A,N/A,N/A,N/A,N/A,19th Jun 07  ,26th Jan 21
530,Dragon's Dogma    ,Series,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,7.00m,N/A,N/A,N/A,N/A,N/A,22nd May 12  ,04th Feb 20
531,Grim Dawn    ,All,Crate Entertainment  ,Crate Entertainment  ,N/A  ,N/A  ,N/A  ,7.00m,N/A,N/A,N/A,N/A,N/A,25th Feb 16  ,28th Feb 22
532,Guild Wars 2    ,PC,NCSoft  ,ArenaNet  ,9.5  ,N/A  ,N/A  ,7.00m,N/A,N/A,N/A,N/A,N/A,28th Aug 12  ,N/A
533,It Takes Two    ,All,Electronic Arts  ,Hazelight  ,N/A  ,N/A  ,N/A  ,7.00m,N/A,N/A,N/A,N/A,N/A,26th Mar 21  ,23rd Apr 21
534,Just Dance 3    ,All,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,7.00m,N/A,N/A,N/A,N/A,N/A,07th Oct 11  ,24th Oct 20
535,King's Quest    ,Series,Sierra Online   ,On-Line Systems  ,N/A  ,N/A  ,N/A  ,7.00m,N/A,N/A,N/A,N/A,N/A,10th May 84  ,02nd Apr 21
536,Mafia III    ,All,2K Games  ,Hangar 13  ,N/A  ,N/A  ,N/A  ,7.00m,N/A,N/A,N/A,N/A,N/A,07th Oct 16  ,06th Nov 20
537,Mana    ,Series,Square  ,Square  ,N/A  ,N/A  ,N/A  ,7.00m,N/A,N/A,N/A,N/A,N/A,01st Nov 91  ,13th Feb 20
538,Metal Gear Solid 2: Sons of Liberty    ,PS2,Konami  ,Konami Computer Entertainment Japan  ,N/A  ,9.5  ,7.0  ,7.00m,N/A,N/A,N/A,N/A,N/A,12th Nov 01  ,N/A
539,NBA 2K14    ,All,2K Sports  ,Visual Concepts  ,N/A  ,N/A  ,N/A  ,7.00m,N/A,N/A,N/A,N/A,N/A,01st Oct 13  ,22nd Oct 20
540,NBA 2K15    ,All,2K Sports  ,Visual Concepts  ,N/A  ,N/A  ,N/A  ,7.00m,N/A,N/A,N/A,N/A,N/A,07th Oct 14  ,22nd Oct 20
541,NieR: Automata    ,All,Square Enix  ,PlatinumGames  ,N/A  ,N/A  ,N/A  ,7.00m,N/A,N/A,N/A,N/A,N/A,07th Mar 17  ,24th Dec 20
542,Nioh    ,Series,Koei Tecmo  ,Team Ninja  ,N/A  ,N/A  ,N/A  ,7.00m,N/A,N/A,N/A,N/A,N/A,07th Feb 17  ,08th Feb 20
543,Project Gotham Racing    ,Series,Sega  ,Bizarre Creations  ,N/A  ,N/A  ,N/A  ,7.00m,N/A,N/A,N/A,N/A,N/A,15th Jan 01  ,14th Feb 20
544,Rise of the Tomb Raider    ,All,Square Enix  ,Crystal Dynamics  ,N/A  ,N/A  ,N/A  ,7.00m,N/A,N/A,N/A,N/A,N/A,10th Nov 15  ,26th Oct 20
545,Rugrats    ,Series,THQ  ,Realtime Associates  ,N/A  ,N/A  ,N/A  ,7.00m,N/A,N/A,N/A,N/A,N/A,29th Jun 99  ,13th Feb 20
546,Star Wars: The Force Unleashed    ,All,LucasArts  ,LucasArts  ,N/A  ,N/A  ,N/A  ,7.00m,N/A,N/A,N/A,N/A,N/A,16th Sep 08  ,28th Jan 21
547,The Legend of Heroes: Trails    ,Series,Xseed Games  ,Falcom  ,N/A  ,N/A  ,N/A  ,7.00m,N/A,N/A,N/A,N/A,N/A,29th Mar 11  ,06th Feb 20
548,"Warhammer 40,000: Dawn of War    ",Series,THQ  ,Relic Entertainment  ,N/A  ,N/A  ,N/A  ,7.00m,N/A,N/A,N/A,N/A,N/A,20th Sep 04  ,16th Nov 20
549,Zumba Fitness    ,All,Majesco  ,Pipeworks Software  ,N/A  ,N/A  ,N/A  ,7.00m,N/A,N/A,N/A,N/A,N/A,18th Nov 10  ,20th Jul 21
550,The Room    ,All,Fireproof Games  ,Fireproof Games  ,N/A  ,N/A  ,N/A  ,6.94m,N/A,N/A,N/A,N/A,N/A,01st Sep 12  ,18th Dec 20
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
601,Devil May Cry 5    ,All,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,6.10m,N/A,N/A,N/A,N/A,N/A,08th Mar 19  ,11th Oct 20
602,The Legend of Zelda: Link's Awakening    ,NS,Nintendo  ,Nintendo  ,8.0  ,N/A  ,10.0  ,6.08m,N/A,N/A,N/A,N/A,N/A,20th Sep 19  ,11th Jun 19
603,Minecraft    ,PS3,Sony Computer Entertainment America  ,Mojang  ,N/A  ,N/A  ,N/A  ,N/A,6.05m,2.21m,2.86m,N/A,0.99m,16th May 14  ,05th Aug 18
604,Pokémon Snap    ,Series,Nintendo  ,HAL Laboratory  ,N/A  ,N/A  ,N/A  ,6.03m,N/A,N/A,N/A,N/A,N/A,30th Jun 99  ,05th Aug 21
605,Borderlands    ,All,2K Games  ,Gearbox Software  ,N/A  ,N/A  ,N/A  ,6.00m,N/A,N/A,N/A,N/A,N/A,20th Oct 09  ,27th Oct 20
606,Carnival Games    ,All,Global Star Software  ,Cat Daddy Games  ,N/A  ,N/A  ,N/A  ,6.00m,N/A,N/A,N/A,N/A,N/A,27th Aug 07  ,30th Dec 20
607,Championship Manager    ,Series,Domark Software  ,Intelek  ,N/A  ,N/A  ,N/A  ,6.00m,N/A,N/A,N/A,N/A,N/A,01st Sep 92  ,12th Feb 20
608,Cities: Skylines    ,All,Paradox Interactive   ,Colossal Order  ,N/A  ,N/A  ,N/A  ,6.00m,N/A,N/A,N/A,N/A,N/A,10th Mar 15  ,27th Jan 21
609,Conflict    ,Series,Gotham Games  ,Pivotal Games  ,N/A  ,N/A  ,N/A  ,6.00m,N/A,N/A,N/A,N/A,N/A,30th Sep 02  ,12th Feb 20
610,Cuphead    ,All,Studio MDHR  ,Studio MDHR  ,N/A  ,N/A  ,N/A  ,6.00m,N/A,N/A,N/A,N/A,N/A,29th Sep 17  ,23rd Nov 20
611,Dead Cells    ,All,Motion Twin  ,Motion Twin  ,N/A  ,N/A  ,N/A  ,6.00m,N/A,N/A,N/A,N/A,N/A,07th Aug 18  ,09th Oct 20
612,Dead Space    ,Series,Electronic Arts  ,EA Redwood Shores  ,N/A  ,N/A  ,N/A  ,6.00m,N/A,N/A,N/A,N/A,N/A,13th Oct 08  ,27th Mar 20
613,Dragon Age: Inquisition    ,All,Electronic Arts  ,BioWare  ,N/A  ,N/A  ,N/A  ,6.00m,N/A,N/A,N/A,N/A,N/A,18th Nov 14  ,31st Dec 20
614,FIFA 07    ,All,Electronic Arts  ,EA Canada  ,N/A  ,N/A  ,N/A  ,6.00m,N/A,N/A,N/A,N/A,N/A,25th Sep 06  ,28th Sep 22
615,Just Dance    ,Wii,Ubisoft  ,Ubisoft Paris  ,N/A  ,5.4  ,N/A  ,6.00m,N/A,N/A,N/A,N/A,N/A,17th Nov 09  ,N/A
616,Limbo    ,All,Playdead  ,Playdead  ,N/A  ,N/A  ,N/A  ,6.00m,N/A,N/A,N/A,N/A,N/A,21st Jul 10  ,27th Dec 20
617,Mass Effect 3    ,All,Electronic Arts  ,BioWare  ,N/A  ,N/A  ,N/A  ,6.00m,N/A,N/A,N/A,N/A,N/A,06th Mar 12  ,05th Dec 20
618,Metal Gear Solid    ,PS,Konami  ,Konami Computer Entertainment Japan  ,N/A  ,9.3  ,N/A  ,6.00m,N/A,N/A,N/A,N/A,N/A,21st Oct 98  ,N/A
619,Metal Gear Solid    ,All,Konami  ,Konami Computer Entertainment Japan  ,N/A  ,N/A  ,N/A  ,6.00m,N/A,N/A,N/A,N/A,N/A,21st Oct 98  ,28th Oct 20
620,Metal Gear Solid 4: Guns of the Patriots    ,PS3,Konami  ,Kojima Productions  ,9.5  ,9.3  ,9.8  ,6.00m,N/A,N/A,N/A,N/A,N/A,12th Jun 08  ,N/A
621,Metal Gear Solid V: The Phantom Pain    ,All,Konami  ,Kojima Productions  ,N/A  ,N/A  ,N/A  ,6.00m,N/A,N/A,N/A,N/A,N/A,01st Sep 15  ,28th Oct 20
622,Metro Exodus    ,All,Deep Silver  ,4a-games  ,N/A  ,N/A  ,N/A  ,6.00m,N/A,N/A,N/A,N/A,N/A,15th Feb 19  ,17th Feb 22
623,MotorStorm    ,Series,Sony Computer Entertainment  ,Evolution Studios  ,N/A  ,N/A  ,N/A  ,6.00m,N/A,N/A,N/A,N/A,N/A,06th Mar 07  ,27th Mar 20
624,NBA Jam    ,Series,Midway  ,Midway  ,N/A  ,N/A  ,N/A  ,6.00m,N/A,N/A,N/A,N/A,N/A,04th Mar 94  ,24th Feb 20
625,One Piece: Pirate Warriors    ,Series,Bandai Namco Games  ,Omega Force  ,N/A  ,N/A  ,N/A  ,6.00m,N/A,N/A,N/A,N/A,N/A,25th Sep 12  ,13th Nov 20
626,Project Gotham Racing    ,XB,Microsoft  ,Bizarre Creations  ,N/A  ,8.4  ,N/A  ,6.00m,N/A,N/A,N/A,N/A,N/A,14th Nov 01  ,N/A
627,Sonic the Hedgehog 2    ,GEN,Sega  ,Sonic Team  ,N/A  ,N/A  ,N/A  ,6.00m,N/A,N/A,N/A,N/A,N/A,20th Nov 92  ,N/A
628,Star Wars: Battlefront II    ,All,LucasArts  ,Pandemic Studios  ,N/A  ,N/A  ,N/A  ,6.00m,N/A,N/A,N/A,N/A,N/A,01st Nov 05  ,31st Oct 20
629,StarCraft II: Wings of Liberty    ,PC,Blizzard Entertainment  ,Blizzard Entertainment  ,8.9  ,9.3  ,N/A  ,6.00m,N/A,N/A,N/A,N/A,N/A,27th Jul 10  ,25th Jun 18
630,Tekken 5    ,PS2,Namco  ,Namco  ,N/A  ,9.0  ,N/A  ,6.00m,N/A,N/A,N/A,N/A,N/A,24th Feb 05  ,N/A
631,Tom Clancy's Splinter Cell    ,All,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,6.00m,N/A,N/A,N/A,N/A,N/A,17th Nov 02  ,07th Nov 20
632,Euro Truck Simulator 2    ,PC,SCS Software  ,SCS Software  ,N/A  ,8.5  ,N/A  ,5.98m,N/A,N/A,N/A,N/A,N/A,16th Jan 13  ,31st Dec 17
633,Tekken 6    ,All,Namco Bandai Games  ,Namco Bandai Games  ,N/A  ,N/A  ,N/A  ,5.98m,N/A,N/A,N/A,N/A,N/A,26th Nov 07  ,29th Oct 20
634,Tomb Raider III    ,All,Eidos Interactive  ,Core Design  ,N/A  ,N/A  ,N/A  ,5.94m,N/A,N/A,N/A,N/A,N/A,20th Nov 98  ,26th Oct 20
635,Mario Kart: Super Circuit    ,GBA,Nintendo  ,Intelligent Systems  ,N/A  ,9.3  ,N/A  ,5.91m,N/A,N/A,N/A,N/A,N/A,26th Aug 01  ,N/A
636,Super Mario Sunshine    ,GC,Nintendo  ,Nintendo EAD  ,8.9  ,9.2  ,N/A  ,5.91m,N/A,N/A,N/A,N/A,N/A,25th Aug 02  ,N/A
637,Call of Duty 2    ,All,Activision  ,Infinity Ward  ,N/A  ,N/A  ,N/A  ,5.90m,N/A,N/A,N/A,N/A,N/A,25th Oct 05  ,26th Sep 22
638,Super Mario 3D World    ,WiiU,Nintendo  ,Nintendo EAD Tokyo  ,9.3  ,9.5  ,N/A  ,5.88m,N/A,N/A,N/A,N/A,N/A,22nd Nov 13  ,02nd Jan 18
639,Mario vs. Donkey Kong    ,Series,Nintendo  ,Nintendo Software Technology Corporation  ,N/A  ,N/A  ,N/A  ,5.87m,N/A,N/A,N/A,N/A,N/A,24th May 04  ,22nd Feb 20
640,Final Fantasy IX    ,All,Square  ,Square  ,N/A  ,N/A  ,N/A  ,5.83m,N/A,N/A,N/A,N/A,N/A,13th Nov 00  ,19th Oct 20
641,Style Savvy    ,Series,Nintendo  ,syn Sophia  ,N/A  ,N/A  ,N/A  ,5.83m,N/A,N/A,N/A,N/A,N/A,02nd Nov 09  ,10th May 22
642,Age of Empires II: HD Edition    ,PC,Microsoft Studios  ,Hidden Path Entertainment  ,6.0  ,N/A  ,N/A  ,5.82m,N/A,N/A,N/A,N/A,N/A,09th Apr 13  ,02nd Oct 18
643,New Super Mario Bros. U    ,WiiU,Nintendo  ,Nintendo EAD  ,8.2  ,8.4  ,N/A  ,5.82m,N/A,N/A,N/A,N/A,N/A,18th Nov 12  ,02nd Aug 20
644,DayZ    ,All,Bohemia Interactive  ,Bohemia Interactive  ,N/A  ,N/A  ,N/A  ,5.80m,N/A,N/A,N/A,N/A,N/A,13th Dec 18  ,20th Dec 20
645,Link's Crossbow Training    ,Wii,Nintendo  ,Nintendo EAD  ,6.9  ,6.9  ,N/A  ,5.79m,N/A,N/A,N/A,N/A,N/A,19th Nov 07  ,N/A
646,Red Dead Redemption 2    ,XOne,Rockstar Games  ,Rockstar Games  ,N/A  ,N/A  ,N/A  ,N/A,5.77m,3.76m,1.47m,N/A,0.54m,26th Oct 18  ,02nd Nov 18
647,Destiny    ,PS4,Activision  ,Bungie  ,7.5  ,N/A  ,N/A  ,N/A,5.76m,2.53m,2.13m,0.16m,0.94m,09th Sep 14  ,12th Jan 18
648,Tekken 2    ,PS,Namco  ,Namco  ,N/A  ,9.1  ,N/A  ,N/A,5.74m,2.26m,1.89m,1.36m,0.23m,25th Aug 96  ,N/A
649,Anno    ,Series,GT Interactive  ,Max Design  ,N/A  ,N/A  ,N/A  ,5.70m,N/A,N/A,N/A,N/A,N/A,01st Feb 00  ,12th May 21
650,Crash Bandicoot 3: Warped    ,PS,Sony Computer Entertainment  ,Naughty Dog  ,N/A  ,9.3  ,N/A  ,5.70m,N/A,N/A,N/A,N/A,N/A,31st Oct 98  ,24th Sep 18
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
801,Dragon's Dogma: Dark Arisen    ,All,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,4.70m,N/A,N/A,N/A,N/A,N/A,23rd Apr 13  ,08th Jan 21
802,The Witcher 3: Wild Hunt    ,XOne,Warner Bros. Interactive Entertainment  ,CD Projekt Red Studio  ,N/A  ,N/A  ,N/A  ,4.70m,N/A,N/A,N/A,N/A,N/A,19th May 15  ,24th Mar 18
803,World of Warcraft: Cataclysm    ,PC,Blizzard Entertainment  ,Blizzard Entertainment  ,9.0  ,9.0  ,N/A  ,4.70m,N/A,N/A,N/A,N/A,N/A,07th Dec 10  ,22nd Apr 18
804,Tony Hawk's Pro Skater 2    ,PS,Activision  ,Neversoft Entertainment  ,N/A  ,9.3  ,N/A  ,N/A,4.68m,3.05m,1.41m,0.02m,0.20m,20th Sep 00  ,N/A
805,Nintendogs + cats    ,3DS,Nintendo  ,Nintendo EAD  ,7.7  ,7.2  ,N/A  ,4.68m,N/A,N/A,N/A,N/A,N/A,27th Mar 11  ,N/A
806,Gran Turismo    ,PSP,Sony Computer Entertainment  ,Polyphony Digital  ,7.5  ,7.7  ,9.5  ,4.67m,N/A,N/A,N/A,N/A,N/A,01st Oct 09  ,N/A
807,The Lord of the Rings: The Two Towers    ,PS2,Electronic Arts  ,Stormfront Studios  ,N/A  ,8.3  ,N/A  ,N/A,4.67m,1.94m,1.95m,0.08m,0.70m,21st Oct 02  ,N/A
808,Tomb Raider    ,PS,Eidos Interactive  ,Core Design Ltd.  ,N/A  ,8.9  ,N/A  ,N/A,4.63m,2.29m,1.97m,0.13m,0.24m,14th Nov 96  ,N/A
809,God of War    ,PS2,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,N/A  ,9.3  ,N/A  ,4.62m,N/A,N/A,N/A,N/A,N/A,22nd Mar 05  ,N/A
810,The Legend of Zelda: A Link to the Past    ,SNES,Nintendo  ,Nintendo EAD  ,N/A  ,10.0  ,N/A  ,4.61m,N/A,N/A,N/A,N/A,N/A,13th Apr 92  ,N/A
811,Left 4 Dead    ,PC,Valve Corporation  ,Valve Software  ,N/A  ,8.6  ,8.5  ,4.60m,N/A,N/A,N/A,N/A,N/A,17th Oct 08  ,N/A
812,Forza Motorsport 4    ,X360,Microsoft Studios  ,Turn 10 Studio  ,9.0  ,9.1  ,N/A  ,N/A,4.60m,2.08m,1.98m,0.06m,0.49m,11th Oct 11  ,N/A
813,Wizardry    ,Series,Sirtech  ,Sir-Tech  ,N/A  ,N/A  ,N/A  ,4.60m,N/A,N/A,N/A,N/A,N/A,01st Sep 81  ,06th Apr 21
814,Guitar Hero III: Legends of Rock    ,Wii,RedOctane  ,Vicarious Visions  ,N/A  ,8.6  ,N/A  ,N/A,4.60m,3.04m,1.12m,0.00m,0.44m,28th Oct 07  ,N/A
815,Sonic Heroes    ,All,Sega  ,Sonic Team  ,N/A  ,N/A  ,N/A  ,4.58m,N/A,N/A,N/A,N/A,N/A,06th Jan 04  ,14th Nov 20
816,BioShock Infinite    ,PC,2K Games  ,Irrational Games  ,9.5  ,N/A  ,N/A  ,4.56m,N/A,N/A,N/A,N/A,N/A,26th Mar 13  ,N/A
817,Mario & Luigi: Bowser's Inside Story    ,DS,Nintendo  ,AlphaDream Corporation  ,9.1  ,9.1  ,N/A  ,4.56m,N/A,N/A,N/A,N/A,N/A,14th Sep 09  ,N/A
818,FIFA 15    ,PS3,EA Sports  ,EA Canada  ,N/A  ,6.9  ,N/A  ,N/A,4.56m,0.59m,3.25m,0.04m,0.68m,23rd Sep 14  ,23rd Mar 18
819,Mario & Sonic at the Olympic Winter Games    ,Wii,Sega  ,Sega  ,N/A  ,6.8  ,N/A  ,N/A,4.54m,1.87m,1.97m,0.22m,0.48m,13th Oct 09  ,N/A
820,Overwatch    ,PS4,Blizzard Entertainment  ,Blizzard Entertainment  ,N/A  ,8.8  ,N/A  ,N/A,4.54m,1.84m,1.80m,0.17m,0.73m,24th May 16  ,24th Mar 18
821,Madden NFL 2005    ,PS2,EA Sports  ,EA Tiburon  ,N/A  ,9.5  ,N/A  ,N/A,4.53m,4.18m,0.26m,0.01m,0.08m,09th Aug 04  ,N/A
822,Guitar Hero III: Legends of Rock    ,X360,RedOctane  ,Neversoft  ,N/A  ,8.7  ,N/A  ,N/A,4.53m,3.19m,0.91m,0.01m,0.42m,28th Oct 07  ,N/A
823,Star Wars Battlefront II (2017)    ,PS4,Electronic Arts  ,EA DICE  ,N/A  ,N/A  ,N/A  ,N/A,4.53m,1.70m,1.99m,0.12m,0.73m,17th Nov 17  ,29th Dec 17
824,Dead Island    ,PC,Deep Silver  ,Techland  ,N/A  ,7.1  ,N/A  ,4.52m,N/A,N/A,N/A,N/A,N/A,06th Sep 11  ,N/A
825,Arma 2: Operation Arrowhead    ,PC,Meridian4  ,Bohemia Interactive  ,N/A  ,N/A  ,N/A  ,4.51m,N/A,N/A,N/A,N/A,N/A,29th Jun 10  ,01st Feb 19
